ds,yhat,yhat_lower,yhat_upper
1988-02-01,0.614244306147636,-0.16317578314084932,1.3766913943174353
1988-03-01,0.11673961687846113,-0.6402160098685136,0.886432043181111
1988-04-01,0.1887202018878582,-0.6337883018269601,0.8871012632967524
1988-05-01,0.6078538910493327,-0.12635861060899486,1.3605618074730608
1988-06-01,0.09119952391021749,-0.6579784196627213,0.90230185844925
1988-07-01,-0.29286556961642773,-1.0410692232212972,0.45091832385086267
1988-08-01,0.3741414517449524,-0.4057025988402354,1.0784045525004777
1988-09-01,0.02808608832533868,-0.7285848983065168,0.7641090032090074
1988-10-01,0.14146592496105986,-0.6329019949179356,0.9348550742881591
1988-11-01,0.43019284562319055,-0.3481521099242182,1.1225123417408798
1988-12-01,0.6299828462932355,-0.12406647921949436,1.3474418269479183
1989-01-01,0.2261043417030963,-0.5263252328073492,0.9961046596701476
1989-02-01,0.6058267338885528,-0.13462330758880786,1.3486428653489453
1989-03-01,0.11273021063839819,-0.6891535576931613,0.8654823604479076
1989-04-01,0.1912170946638908,-0.5165545182830563,0.96466337888872
1989-05-01,0.6031594582605617,-0.15175292614926372,1.372139002615619
1989-06-01,0.08031661485530786,-0.7065467763092957,0.8355949012492746
1989-07-01,-0.3013016881216541,-1.010475979923009,0.43940256434042446
1989-08-01,0.3714649851958185,-0.40697182813065524,1.1099702474599518
1989-09-01,0.02388419985407028,-0.7262887873431831,0.8556300281471619
1989-10-01,0.13302997650510687,-0.672711102005998,0.9141694227553453
1989-11-01,0.42901156567697435,-0.41369459531134567,1.1874319097631516
1989-12-01,0.6244480793754259,-0.1467647414142919,1.3749020558276561
1990-01-01,0.2126075103164818,-0.5142044998075076,0.9356668156471348
1990-02-01,0.601319570825273,-0.15026381335026381,1.3542657694377989
1990-03-01,0.10897456451299609,-0.6466708873173225,0.8390926690199393
1990-04-01,0.1937501831774165,-0.5861747386622547,0.9904405608635672
1990-05-01,0.5980406477932597,-0.20654861503586114,1.4387034199921473
1990-06-01,0.06937336391465213,-0.698221344390678,0.8150260558982318
1990-07-01,-0.3093993987584781,-1.0410687240013485,0.35963020054088896
1990-08-01,0.3687117894276377,-0.3382146680315303,1.1324102917272592
1990-09-01,0.01973513781446859,-0.7221934127632189,0.773468162577842
1990-10-01,0.12466981533336377,-0.611581977168368,0.9016050443669053
1990-11-01,0.4277826140010653,-0.40612532653572386,1.1598047768510125
1990-12-01,0.6186203574918798,-0.0898920195997531,1.3920678646424336
1991-01-01,0.19923776672148547,-0.536507579900331,0.9385986074978176
1991-02-01,0.5967992193639723,-0.12213268227881435,1.2967614828860847
1991-03-01,0.10547015542758525,-0.598267548143594,0.8890722163082032
1991-04-01,0.19630600147269753,-0.48183502315718785,0.9832709337703834
1991-05-01,0.592497403208266,-0.16236438734429703,1.3361439145322371
1991-06-01,0.058382580201292195,-0.7298637237902588,0.8290135942788851
1991-07-01,-0.31715612471558347,-1.02935364686607,0.4179517573435274
1991-08-01,0.3658772717119771,-0.4328568726087352,1.1145765864014063
1991-09-01,0.015638157032302008,-0.7366085656833505,0.7964633635807343
1991-10-01,0.11638409642194972,-0.6201040992716131,0.8754119435837161
1991-11-01,0.42649848040248955,-0.34166040438246925,1.1449698153972705
1991-12-01,0.6125026586896334,-0.16408809944934485,1.3669406121710168
1992-01-01,0.18600478771042128,-0.5963875622297622,0.8967161830252405
1992-02-01,0.5922680962955914,-0.133244733670558,1.36228444644993
1992-03-01,0.09476340813521766,-0.6563825571874847,0.8483255299815118
1992-04-01,0.16674399432991632,-0.5828035247936252,0.920495862320476
1992-05-01,0.5858776846384465,-0.17666604537215694,1.3507968080141335
1992-06-01,0.06922331868460002,-0.779999968645292,0.7955865892100841
1992-07-01,-0.3148417736949662,-1.1197480420578678,0.4788131036194898
1992-08-01,0.35216524885170286,-0.36335135323581486,1.1584512050214333
1992-09-01,0.006109886617363114,-0.7546448466993186,0.818801442484834
1992-10-01,0.11948972440015088,-0.6143017470317411,0.8804845906554417
1992-11-01,0.4082166462475686,-0.3689158896858874,1.1415108005927848
1992-12-01,0.6080066483878823,-0.13863748439917567,1.380597758075506
1993-01-01,0.20412814531703527,-0.5844699636107705,0.9567288273038497
1993-02-01,0.583850539021762,-0.17082413879718644,1.3737651293730528
1993-03-01,0.09075401714390607,-0.6766105030951196,0.8865931313693647
1993-04-01,0.16924090268868974,-0.6530098245876782,0.9410155816139119
1993-05-01,0.581183267018924,-0.13784685415109682,1.3272271434380936
1993-06-01,0.058340424371711885,-0.7145853238265297,0.7839474963645925
1993-07-01,-0.32327787787165685,-1.1226041625122842,0.4650679829993367
1993-08-01,0.34948879620384554,-0.3871658203229623,1.0933035717229482
1993-09-01,0.001908011620144534,-0.7473274852096274,0.7351916095416743
1993-10-01,0.11105378900479294,-0.6920647675475148,0.8475299870134032
1993-11-01,0.40703537893465375,-0.3258006357265542,1.1349899053245982
1993-12-01,0.6024718933666973,-0.13124033538328977,1.349083933676723
1994-01-01,0.19063132506580466,-0.5756665864034999,0.9631259229781228
1994-02-01,0.5793433863547113,-0.1581000317085641,1.3484942069432766
1994-03-01,0.08699838074703875,-0.6933129571494131,0.8947527603289542
1994-04-01,0.17177400019152528,-0.5924570294361373,1.0188996315405905
1994-05-01,0.5760644655622946,-0.15586112121863133,1.3192842464595278
1994-06-01,0.04739718246379823,-0.7088503088986252,0.8023451085394152
1994-07-01,-0.33137557947392604,-1.0951890015723722,0.44780829263012634
1994-08-01,0.3467356094721106,-0.4153974174475663,1.1044954126916289
